gene,top_go
5947@,metabolic process
6017@,metabolic process
64577@,metabolic process
1381@,metabolic process
7276@,metabolic process
1544@,metabolic process
1109@,metabolic process
7804@,biological regulation
8694@,metabolic process
56603@,biological regulation
2262@,metabolic process
9227@,biological regulation
157506@,metabolic process
8228@,metabolic process
345@,biological regulation
57665@,metabolic process
336@,biological regulation
158835@,metabolic process
1382@,metabolic process
344@,biological regulation
6010@,biological regulation
222236@,metabolic process
611@,cellular process
339761@,metabolic process
348@,metabolic process
441282@,metabolic process
4035@,biological regulation
5467@,cellular process
1576@,metabolic process
84649@,metabolic process
55937@,cellular process
2817@,metabolic process
6382@,metabolic process
5919@,biological regulation
54600@,response to stimulus
1645@,metabolic process
10170@,metabolic process
1592@,metabolic process
5959@,metabolic process
125@,metabolic process
10082@,metabolic process
8608@,metabolic process
24@,biological regulation
1565@,metabolic process
231@,metabolic process
6385@,developmental process
130@,metabolic process
1551@,metabolic process
51109@,metabolic process
8854@,metabolic process
6121@,biological regulation
54576@,metabolic process
54658@,metabolic process
145226@,biological regulation
151056@,reproductive process
4036@,localization
5406@,localization
53630@,metabolic process
285440@,metabolic process
1558@,metabolic process
64220@,behavior
128@,metabolic process
50700@,metabolic process
1543@,response to stimulus
2719@,developmental process
5950@,biological regulation
338328@,cellular process
9249@,metabolic process
57016@,metabolic process
221914@,metabolic process
124@,metabolic process
54577@,metabolic process
3339@,metabolic process
112724@,metabolic process
127@,metabolic process
1545@,response to stimulus
126@,metabolic process
246176@,biological regulation
55779@,cellular process
345895@,cellular process
146279@,cellular process
126731@,biological regulation
339829@,multicellular organismal process
25981@,cellular process
81492@,cellular process
56171@,cellular process
126820@,cellular process
92749@,cellular process
727764@,cellular process
8632@,cellular process
80217@,cellular process
146754@,cellular process
27285@,cellular process
55567@,cellular process
1769@,cellular process
2622@,biological regulation
29105@,biological regulation
83659@,cellular process
8195@,cellular process
221421@,cellular process
583@,biological regulation
117144@,biological regulation
5991@,developmental process
54777@,cellular process
55172@,cellular process
64518@,reproductive process
85478@,cellular process
150483@,cellular process
144535@,cellular process
2099@,reproductive process
8892@,reproductive process
3624@,biological regulation
1495@,biological regulation
3625@,reproductive process
7422@,biological regulation
7425@,reproductive process
596@,biological regulation
409@,biological regulation
3955@,reproductive process
283@,reproductive process
2296@,multicellular organismal process
8890@,reproductive process
6874@,reproductive process
4327@,reproductive process
63951@,reproductive process
8372@,reproductive process
3623@,reproductive process
2620@,reproductive process
2189@,reproductive process
89766@,reproductive process
5806@,reproductive process
2069@,reproductive process
268@,reproductive process
2488@,reproductive process
83943@,reproductive process
9757@,reproductive process
116@,biological regulation
8893@,reproductive process
2796@,reproductive process
3383@,reproductive process
2492@,reproductive process
7784@,reproductive process
344758@,reproductive process
4323@,multicellular organismal process
7337@,reproductive process
1051@,biological regulation
4254@,cellular process
9210@,reproductive process
9468@,reproductive process
8204@,reproductive process
9510@,reproductive process
5241@,reproductive process
174@,reproductive process
3952@,biological regulation
8322@,reproductive process
2661@,reproductive process
5156@,response to stimulus
56729@,reproductive process
5798@,reproductive process
59338@,reproductive process
2516@,reproductive process
6777@,biological regulation
8879@,reproductive process
6092@,cellular process
3309@,biological regulation
9353@,cellular process
6586@,reproductive process
8085@,biological regulation
2185@,cellular process
80336@,reproductive process
122042@,reproductive process
1618@,biological regulation
51441@,cellular process
4882@,biological regulation
4880@,developmental process
5139@,biological regulation
26153@,localization
84687@,localization
5194@,localization
5264@,localization
55825@,localization
54363@,localization
10478@,localization
224@,metabolic process
26061@,localization
115361@,response to stimulus
10538@,cellular process
283234@,response to stimulus
2634@,response to stimulus
116071@,cellular process
1667@,response to stimulus
3593@,response to stimulus
10077@,cellular process
3394@,metabolic process
4615@,response to stimulus
3662@,response to stimulus
406891@,biological regulation
602@,response to stimulus
163351@,response to stimulus
728358@,response to stimulus
79679@,biological regulation
1130@,response to stimulus
3592@,response to stimulus
5196@,response to stimulus
3265@,response to stimulus
64581@,response to stimulus
388646@,response to stimulus
3549@,developmental process
9723@,biological regulation
1282@,developmental process
6423@,biological regulation
63943@,biological regulation
4855@,biological regulation
6469@,cellular process
6789@,biological regulation
90@,cellular process
23129@,biological regulation
57057@,developmental process
4192@,developmental process
7048@,biological regulation
10672@,cellular process
2637@,cellular process
2303@,developmental process
54567@,developmental process
2253@,developmental process
8829@,biological regulation
2658@,biological regulation
6722@,developmental process
25@,cellular process
51176@,cellular process
4776@,metabolic process
1909@,developmental process
54345@,cellular process
4851@,biological regulation
83605@,developmental process
23462@,developmental process
6608@,developmental process
25976@,reproductive process
154796@,cellular process
5747@,cellular process
7075@,developmental process
9693@,biological regulation
7498@,metabolic process
55273@,biological regulation
7049@,developmental process
2013@,localization
2294@,cellular process
54922@,cellular process
54453@,biological regulation
1482@,developmental process
57007@,metabolic process
3726@,response to stimulus
5906@,biological regulation
100506013@,cellular process
10266@,cellular process
4643@,cellular process
9444@,metabolic process
23493@,developmental process
1969@,biological regulation
55109@,cellular process
8463@,developmental process
57493@,cellular process
133@,developmental process
57178@,biological regulation
64321@,developmental process
51564@,biological regulation
187@,biological regulation
7137@,multicellular organismal process
84700@,cellular process
51162@,biological regulation
23414@,reproductive process
11146@,biological regulation
55662@,biological regulation
3696@,metabolic process
947@,cellular process
3685@,biological regulation
5159@,biological regulation
6910@,biological regulation
634@,cellular process
51666@,metabolic process
10413@,biological regulation
6237@,biological regulation
9331@,cellular process
3074@,metabolic process
7903@,metabolic process
8128@,metabolic process
30815@,metabolic process
129807@,metabolic process
27090@,metabolic process
256435@,metabolic process
2583@,metabolic process
10825@,metabolic process
338596@,metabolic process
2760@,metabolic process
54982@,cellular process
8705@,metabolic process
4758@,metabolic process
81849@,metabolic process
8869@,metabolic process
4759@,metabolic process
51046@,metabolic process
53947@,metabolic process
827@,cellular process
57701@,cellular process
84223@,cellular process
6101@,biological regulation
10634@,cellular process
25809@,developmental process
23255@,cellular process
27019@,cellular process
1767@,cellular process
4133@,biological regulation
2242@,biological regulation
54919@,cellular process
51673@,cellular process
23639@,reproductive process
57545@,developmental process
1641@,cellular process
348807@,cellular process
94137@,biological regulation
55130@,cellular process
4131@,biological regulation
11076@,cellular process
84071@,cellular process
286207@,cellular process
23116@,cellular process
8086@,localization
89796@,cellular process
139212@,cellular process
123872@,multicellular organismal process
387885@,cellular process
54839@,cellular process
80128@,localization
285331@,biological regulation
388389@,cellular process
57787@,cellular process
85452@,cellular process
79989@,cellular process
161582@,cellular process
284076@,cellular process
83544@,cellular process
352909@,cellular process
54462@,cellular process
55201@,biological regulation
6249@,cellular process
22919@,biological regulation
9148@,cellular process
79582@,cellular process
54768@,cellular process
79864@,cellular process
122664@,cellular process
64446@,cellular process
8481@,biological regulation
55036@,biological regulation
344148@,cellular process
160762@,cellular process
11261@,biological regulation
6674@,cellular process
50487@,localization
23332@,biological regulation
89765@,cellular process
115948@,cellular process
51364@,cellular process
91978@,cellular process
154313@,cellular process
136332@,cellular process
26140@,cellular process
93233@,cellular process
200162@,cellular process
374407@,cellular process
376497@,biological regulation
5304@,biological regulation
765@,response to stimulus
50836@,response to stimulus
5726@,response to stimulus
132112@,response to stimulus
344892@,response to stimulus
64108@,response to stimulus
259294@,response to stimulus
259291@,response to stimulus
50837@,response to stimulus
1470@,response to stimulus
259286@,response to stimulus
259287@,response to stimulus
285093@,response to stimulus
50835@,response to stimulus
259289@,response to stimulus
2780@,response to stimulus
83597@,response to stimulus
2779@,cellular process
50832@,response to stimulus
259285@,response to stimulus
50840@,response to stimulus
50833@,response to stimulus
54429@,response to stimulus
338398@,response to stimulus
1472@,biological regulation
50834@,response to stimulus
4025@,response to stimulus
1469@,response to stimulus
259293@,response to stimulus
563@,biological regulation
259296@,response to stimulus
353164@,response to stimulus
5284@,biological regulation
259295@,response to stimulus
259292@,response to stimulus
50839@,response to stimulus
259290@,response to stimulus
50831@,response to stimulus
342372@,response to stimulus
9033@,response to stimulus
83756@,multicellular organismal process
342184@,developmental process
3399@,developmental process
10220@,developmental process
79192@,multicellular organismal process
9231@,biological regulation
3976@,biological regulation
51107@,metabolic process
54361@,biological regulation
3227@,developmental process
30812@,reproductive process
38@,metabolic process
3280@,multicellular organismal process
5154@,biological regulation
2625@,biological regulation
388585@,multicellular organismal process
4763@,biological regulation
1512@,developmental process
3207@,reproductive process
80144@,developmental process
8516@,developmental process
9370@,biological regulation
7849@,developmental process
6943@,reproductive process
186@,developmental process
359@,developmental process
7369@,response to stimulus
1958@,multicellular organismal process
10736@,developmental process
5455@,developmental process
6928@,multicellular organismal process
55366@,developmental process
7827@,developmental process
25937@,developmental process
2302@,immune system process
6299@,developmental process
55083@,developmental process
51804@,developmental process
130497@,developmental process
2297@,developmental process
4824@,biological regulation
26585@,developmental process
793@,developmental process
7021@,biological regulation
2138@,developmental process
6495@,developmental process
2737@,developmental process
116039@,developmental process
3579@,cellular process
80000@,developmental process
6772@,biological regulation
2200@,biological regulation
3913@,developmental process
79633@,cellular process
7484@,multicellular organismal process
5076@,developmental process
79191@,multicellular organismal process
627@,biological regulation
3611@,developmental process
5914@,reproductive process
4070@,biological regulation
9241@,developmental process
168667@,cellular process
4072@,developmental process
4088@,biological regulation
9350@,developmental process
6422@,developmental process
9500@,developmental process
8642@,developmental process
6492@,developmental process
4086@,metabolic process
64412@,developmental process
4090@,immune system process
5915@,developmental process
56998@,developmental process
3217@,developmental process
7482@,developmental process
5087@,biological regulation
170690@,developmental process
3911@,developmental process
3237@,developmental process
9244@,cellular process
7475@,cellular process
2260@,developmental process
2263@,developmental process
5228@,biological regulation
4092@,biological regulation
255743@,developmental process
847@,localization
7481@,developmental process
64641@,developmental process
3397@,developmental process
406@,biological regulation
56034@,cellular process
4012@,immune system process
37@,biological regulation
2167@,localization
8792@,biological regulation
33@,metabolic process
9807@,metabolic process
50486@,biological regulation
1649@,biological regulation
7840@,biological regulation
729230@,biological regulation
57406@,metabolic process
3033@,biological regulation
5021@,multicellular organismal process
2308@,multicellular organismal process
63976@,metabolic process
10400@,metabolic process
7480@,developmental process
51094@,biological regulation
23090@,biological regulation
51393@,localization
4237@,developmental process
11096@,cellular process
2827@,biological regulation
10874@,biological regulation
5334@,cellular process
7376@,biological regulation
1240@,biological regulation
5564@,developmental process
6774@,metabolic process
26580@,biological regulation
18@,developmental process
10062@,biological regulation
4857@,biological regulation
26291@,cellular process
23228@,cellular process
7350@,metabolic process
3552@,biological regulation
89@,metabolic process
50508@,response to stimulus
2271@,biological regulation
115209@,cellular process
5565@,localization
55818@,biological regulation
3910@,biological regulation
23175@,metabolic process
79602@,biological regulation
6794@,biological regulation
58488@,localization
51316@,biological regulation
1666@,biological regulation
8929@,biological regulation
1376@,localization
7442@,cellular process
338557@,biological regulation
6588@,biological regulation
3953@,metabolic process
153@,multicellular organismal process
8809@,biological regulation
283455@,biological regulation
3060@,multicellular organismal process
7030@,multicellular organismal process
2034@,immune system process
51043@,cellular process
3934@,immune system process
2887@,biological regulation
1778@,localization
2778@,multicellular organismal process
1621@,metabolic process
51087@,biological regulation
5618@,cellular process
4883@,biological regulation
2104@,biological regulation
7253@,cellular process
3600@,biological regulation
3356@,multicellular organismal process
3480@,cellular process
9658@,developmental process
79813@,response to stimulus
155@,cellular process
26027@,metabolic process
79068@,biological regulation
7351@,biological regulation
93@,biological regulation
3596@,biological regulation
8473@,metabolic process
55198@,biological regulation
1910@,biological regulation
6319@,metabolic process
5020@,multicellular organismal process
23135@,response to stimulus
468@,biological regulation
4159@,cellular process
9673@,biological regulation
5746@,biological regulation
8862@,biological regulation
192111@,biological regulation
5733@,cellular process
154@,biological regulation
4858@,biological regulation
6009@,biological regulation
3226@,developmental process
2628@,multicellular organismal process
2876@,metabolic process
4898@,metabolic process
85440@,localization
3606@,multicellular organismal process
57561@,biological regulation
3516@,developmental process
8841@,metabolic process
55856@,metabolic process
7090@,cellular process
79054@,multicellular organismal process
2902@,behavior
2353@,multicellular organismal process
10716@,behavior
2558@,behavior
1620@,behavior
1977@,localization
3358@,biological regulation
5179@,response to stimulus
885@,biological regulation
10522@,behavior
4208@,multicellular organismal process
64854@,biological regulation
2917@,biological regulation
4862@,biological regulation
7419@,localization
5896@,biological regulation
84961@,cellular process
3350@,localization
1392@,multicellular organismal process
4204@,developmental process
57679@,biological regulation
55515@,response to stimulus
7101@,behavior
41@,behavior
4887@,multicellular organismal process
27136@,biological regulation
116372@,cellular process
7349@,biological regulation
4761@,behavior
23542@,behavior
1803@,immune system process
11011@,biological regulation
6886@,immune system process
11240@,biological regulation
9874@,biological regulation
144108@,cellular process
64753@,reproductive process
255220@,reproductive process
11055@,reproductive process
64645@,cellular process
84519@,reproductive process
3267@,localization
128637@,developmental process
9519@,reproductive process
646480@,cellular process
5819@,cellular process
5990@,reproductive process
124626@,reproductive process
7110@,biological regulation
57082@,reproductive process
81833@,reproductive process
6691@,reproductive process
158833@,metabolic process
9415@,metabolic process
1553@,metabolic process
2053@,metabolic process
239@,biological regulation
28976@,metabolic process
22952@,metabolic process
59344@,metabolic process
11000@,localization
84830@,biological regulation
57834@,metabolic process
4644@,metabolic process
246@,metabolic process
1579@,biological regulation
3992@,metabolic process
10005@,localization
51390@,metabolic process
1559@,metabolic process
8605@,metabolic process
653308@,metabolic process
113612@,metabolic process
221955@,cellular process
1564@,metabolic process
4048@,metabolic process
2948@,metabolic process
2879@,metabolic process
1555@,metabolic process
158584@,metabolic process
4051@,metabolic process
2946@,response to stimulus
2182@,localization
6342@,biological regulation
747@,cellular process
1374@,localization
1572@,metabolic process
1573@,metabolic process
5354@,metabolic process
23305@,metabolic process
240@,multicellular organismal process
2166@,metabolic process
2938@,response to stimulus
80339@,cellular process
56624@,metabolic process
1548@,metabolic process
219970@,metabolic process
284541@,metabolic process
344967@,metabolic process
2950@,biological regulation
247@,metabolic process
5321@,localization
3991@,metabolic process
1557@,metabolic process
242@,metabolic process
8399@,biological regulation
3248@,metabolic process
2181@,biological regulation
1549@,metabolic process
11332@,metabolic process
1571@,metabolic process
100137049@,reproductive process
51703@,metabolic process
4056@,metabolic process
81616@,metabolic process
11343@,biological regulation
5019@,biological regulation
51092@,biological regulation
29085@,biological regulation
4760@,cellular process
55638@,localization
2621@,biological regulation
6770@,multicellular organismal process
65220@,biological regulation
1361@,biological regulation
2850@,biological regulation
111@,biological regulation
84522@,biological regulation
133308@,biological regulation
9324@,response to stimulus
5532@,behavior
846@,response to stimulus
10804@,developmental process
9024@,biological regulation
7776@,response to stimulus
388581@,biological regulation
7074@,biological regulation
5176@,response to stimulus
2692@,multicellular organismal process
2901@,localization
10497@,reproductive process
8398@,biological regulation
4804@,multicellular organismal process
406950@,biological regulation
5106@,metabolic process
4041@,developmental process
22841@,cellular process
2822@,metabolic process
3607@,metabolic process
6814@,biological regulation
57539@,multicellular organismal process
5530@,biological regulation
252983@,biological regulation
1080@,biological regulation
406951@,biological regulation
8609@,biological regulation
1215@,cellular process
222546@,biological regulation
3156@,biological regulation
25942@,metabolic process
3799@,localization
7494@,biological regulation
415116@,response to stimulus
7447@,biological regulation
26137@,metabolic process
1535@,immune system process
3171@,response to stimulus
91355@,biological regulation
5290@,cellular process
26056@,response to stimulus
80201@,metabolic process
5296@,cellular process
572@,biological regulation
5563@,metabolic process
3956@,cellular process
25874@,localization
5105@,response to stimulus
91942@,biological regulation
1581@,metabolic process
5566@,biological regulation
4831@,metabolic process
65985@,response to stimulus
5295@,cellular process
5799@,response to stimulus
3767@,response to stimulus
5127@,response to stimulus
1946@,cellular process
3651@,biological regulation
7054@,response to stimulus
55107@,biological regulation
2626@,biological regulation
3101@,metabolic process
3098@,biological regulation
79727@,biological regulation
221937@,metabolic process
57393@,biological regulation
8111@,biological regulation
28999@,multicellular organismal process
5879@,biological regulation
5165@,biological regulation
406890@,biological regulation
6810@,cellular process
51085@,metabolic process
56943@,localization
177@,biological regulation
150@,cellular process
10399@,biological regulation
114@,response to stimulus
2044@,biological regulation
4830@,metabolic process
8938@,developmental process
2641@,biological regulation
9854@,localization
3176@,multicellular organismal process
7200@,localization
10394@,metabolic process
3067@,metabolic process
7032@,response to stimulus
9026@,cellular process
887@,biological regulation
4987@,biological regulation
3274@,behavior
389015@,localization
6446@,behavior
6343@,biological regulation
1133@,biological regulation
29887@,developmental process
115111@,localization
26011@,cellular process
7709@,cellular process
1954@,biological regulation
92@,immune system process
5015@,biological regulation
4040@,developmental process
51471@,metabolic process
4838@,developmental process
286204@,developmental process
6045@,biological regulation
7358@,metabolic process
2114@,developmental process
8646@,biological regulation
3689@,biological regulation
3676@,immune system process
4318@,biological regulation
2116@,immune system process
23168@,metabolic process
3909@,cellular process
5460@,biological regulation
55614@,cellular process
406937@,developmental process
2001@,cellular process
1290@,developmental process
1284@,cellular process
1291@,developmental process
3281@,response to stimulus
7473@,biological regulation
3673@,biological regulation
3691@,cellular process
8324@,biological regulation
3196@,biological regulation
83595@,biological regulation
4324@,cellular process
6615@,biological regulation
3693@,immune system process
22943@,biological regulation
9314@,biological regulation
3912@,developmental process
9646@,biological regulation
659@,biological regulation
1289@,biological regulation
7448@,biological regulation
89780@,developmental process
83881@,developmental process
23275@,metabolic process
4317@,biological regulation
123169@,developmental process
3914@,developmental process
9095@,developmental process
2627@,multicellular organismal process
2335@,biological regulation
343930@,developmental process
79577@,developmental process
79971@,biological regulation
89870@,response to stimulus
9421@,developmental process
3678@,developmental process
79923@,developmental process
5573@,biological regulation
1295@,developmental process
6657@,multicellular organismal process
406942@,biological regulation
8289@,developmental process
3679@,biological regulation
642658@,multicellular organismal process
4771@,biological regulation
57045@,biological regulation
406985@,biological regulation
54623@,cellular process
60412@,localization
7296@,developmental process
1294@,cellular process
4313@,multicellular organismal process
1303@,developmental process
8013@,developmental process
657@,developmental process
8320@,cellular process
55897@,biological regulation
84913@,metabolic process
3675@,cellular process
145873@,developmental process
2139@,metabolic process
170825@,biological regulation
6899@,developmental process
10215@,biological regulation
8022@,cellular process
10660@,developmental process
28514@,multicellular organismal process
63950@,biological regulation
63978@,metabolic process
5449@,biological regulation
50945@,cellular process
51684@,developmental process
84504@,cellular process
4825@,cellular process
8643@,biological regulation
9096@,multicellular organismal process
2736@,developmental process
2128@,cellular process
4821@,cellular process
50846@,reproductive process
167826@,cellular process
30012@,cellular process
5454@,cellular process
9496@,developmental process
367@,reproductive process
145258@,developmental process
474@,developmental process
3169@,biological regulation
58524@,cellular process
23269@,biological regulation
64843@,developmental process
429@,cellular process
3110@,developmental process
6909@,biological regulation
6913@,developmental process
55553@,biological regulation
54738@,cellular process
10297@,cellular process
5457@,multicellular organismal process
3236@,reproductive process
8543@,developmental process
23040@,cellular process
54845@,cellular process
347853@,cellular process
120237@,cellular process
6656@,cellular process
4633@,multicellular organismal process
3670@,biological regulation
4909@,behavior
3199@,developmental process
2624@,developmental process
3475@,biological regulation
11281@,cellular process
182@,multicellular organismal process
2290@,developmental process
5396@,developmental process
4853@,biological regulation
57453@,developmental process
343472@,cellular process
55079@,cellular process
4170@,biological regulation
1983@,metabolic process
54505@,biological regulation
28985@,interspecies interaction between organisms
255308@,biological regulation
8894@,cellular process
8562@,interspecies interaction between organisms
1939@,interspecies interaction between organisms
1968@,biological regulation
51386@,metabolic process
8666@,metabolic process
8668@,metabolic process
8667@,metabolic process
8664@,biological regulation
27335@,metabolic process
728689@,metabolic process
8663@,biological regulation
8669@,metabolic process
8662@,interspecies interaction between organisms
8661@,interspecies interaction between organisms
8665@,interspecies interaction between organisms
10480@,metabolic process
5686@,biological regulation
5705@,biological regulation
5718@,biological regulation
6259@,biological regulation
1175@,immune system process
5696@,biological regulation
5707@,biological regulation
8321@,developmental process
9620@,cellular process
9968@,developmental process
8323@,developmental process
80199@,biological regulation
64750@,biological regulation
84870@,biological regulation
84133@,developmental process
5720@,biological regulation
5713@,biological regulation
1856@,developmental process
5701@,biological regulation
5708@,biological regulation
9863@,biological regulation
166336@,developmental process
2535@,developmental process
5702@,biological regulation
23198@,biological regulation
5685@,biological regulation
5694@,biological regulation
81839@,developmental process
5695@,biological regulation
1173@,immune system process
23322@,biological regulation
51339@,developmental process
23245@,developmental process
22881@,developmental process
5710@,biological regulation
5691@,biological regulation
1741@,cellular process
5719@,biological regulation
4919@,cellular process
23002@,developmental process
5711@,biological regulation
9948@,biological regulation
5754@,developmental process
143471@,biological regulation
128272@,developmental process
163@,developmental process
57216@,developmental process
9491@,biological regulation
1952@,cellular process
5700@,biological regulation
50855@,cellular process
5690@,biological regulation
54903@,biological regulation
27031@,biological regulation
144165@,biological regulation
1601@,localization
5688@,biological regulation
115908@,developmental process
1857@,developmental process
5721@,biological regulation
5683@,biological regulation
161@,immune system process
5717@,biological regulation
5704@,biological regulation
5687@,biological regulation
1951@,cellular process
10427@,developmental process
9861@,biological regulation
5682@,biological regulation
5706@,biological regulation
57822@,developmental process
57664@,metabolic process
122706@,biological regulation
5699@,biological regulation
5698@,biological regulation
5693@,biological regulation
27152@,biological regulation
5715@,biological regulation
5709@,biological regulation
5684@,biological regulation
2295@,developmental process
85407@,biological regulation
1855@,developmental process
7976@,developmental process
5714@,biological regulation
5216@,developmental process
5689@,biological regulation
4300@,metabolic process
10640@,localization
65250@,developmental process
5692@,biological regulation
10197@,biological regulation
4478@,localization
163183@,cellular process
9368@,developmental process
26146@,biological regulation
71@,biological regulation
6939@,multicellular organismal process
4983@,cellular process
7430@,biological regulation
284217@,developmental process
23616@,cellular process
57662@,biological regulation
10890@,localization
5911@,cellular process
4649@,cellular process
55966@,biological regulation
54806@,multicellular organismal process
10083@,biological regulation
7287@,biological regulation
1826@,biological regulation
5764@,biological regulation
8842@,biological regulation
6096@,developmental process
80184@,developmental process
57096@,developmental process
118427@,developmental process
7070@,immune system process
7068@,developmental process
23287@,developmental process
1735@,biological regulation
57010@,cellular process
5146@,cellular process
4647@,developmental process
2792@,cellular process
4308@,cellular process
639@,biological regulation
10002@,cellular process
23418@,cellular process
10210@,localization
4901@,developmental process
83552@,developmental process
6094@,developmental process
4669@,developmental process
5584@,cellular process
54549@,developmental process
25794@,developmental process
348980@,response to stimulus
8828@,developmental process
65979@,cellular process
2348@,cellular process
10500@,biological regulation
3357@,cellular process
6663@,biological regulation
10507@,developmental process
309@,developmental process
7291@,developmental process
54910@,biological regulation
1947@,biological regulation
10509@,biological regulation
6405@,biological regulation
4902@,cellular process
58495@,developmental process
223117@,biological regulation
10501@,biological regulation
2066@,biological regulation
64218@,biological regulation
23603@,biological regulation
10505@,biological regulation
10371@,biological regulation
8482@,biological regulation
57715@,biological regulation
9839@,biological regulation
5308@,multicellular organismal process
7869@,biological regulation
1908@,biological regulation
57556@,biological regulation
9464@,biological regulation
10512@,biological regulation
56920@,biological regulation
80031@,biological regulation
5362@,cellular process
10006@,cellular process
5075@,developmental process
23509@,metabolic process
4223@,developmental process
2648@,behavior
10655@,developmental process
5100@,multicellular organismal process
4222@,cellular process
57534@,multicellular organismal process
27023@,behavior
10683@,developmental process
56983@,developmental process
1045@,developmental process
1044@,multicellular organismal process
8557@,developmental process
84667@,developmental process
7472@,response to stimulus
140628@,multicellular organismal process
6091@,biological regulation
23213@,cellular process
1605@,biological regulation
6356@,biological regulation
10481@,cellular process
1310@,developmental process
151449@,biological regulation
780@,developmental process
6692@,biological regulation
2045@,cellular process
53335@,biological regulation
1522@,cellular process
4233@,biological regulation
3845@,behavior
1307@,response to stimulus
6768@,developmental process
7080@,reproductive process
4488@,developmental process
6256@,developmental process
64399@,developmental process
57471@,biological regulation
57142@,biological regulation
55727@,developmental process
10653@,biological regulation
25932@,developmental process
5361@,biological regulation
10765@,reproductive process
2119@,biological regulation
3202@,immune system process
5058@,biological regulation
2252@,cellular process
2885@,cellular process
3371@,response to stimulus
1746@,biological regulation
473@,cellular process
7052@,biological regulation
79977@,biological regulation
59277@,developmental process
7421@,cellular process
6591@,biological regulation
6474@,biological regulation
5469@,developmental process
340419@,developmental process
3239@,developmental process
374@,cellular process
1435@,biological regulation
9021@,biological regulation
1305@,multicellular organismal process
2676@,cellular process
57688@,cellular process
57630@,biological regulation
5191@,multicellular organismal process
8403@,cellular process
6695@,cellular process
653464@,cellular process
389549@,cellular process
83482@,cellular process
23768@,cellular process
347733@,cellular process
51473@,cellular process
26053@,biological regulation
200933@,cellular process
4139@,cellular process
1281@,cellular process
10806@,cellular process
170302@,cellular process
137970@,cellular process
10718@,developmental process
63923@,cellular process
26012@,cellular process
9860@,biological regulation
92737@,cellular process
4692@,cellular process
5592@,biological regulation
6376@,cellular process
9289@,cellular process
5108@,localization
6387@,localization
1630@,biological regulation
23380@,cellular process
9201@,cellular process
1020@,localization
55140@,cellular process
8239@,localization
29967@,cellular process
11023@,cellular process
1233@,cellular process
116983@,cellular process
56751@,cellular process
558@,biological regulation
323@,cellular process
285313@,cellular process
85451@,cellular process
27185@,biological regulation
6792@,biological regulation
23314@,cellular process
221692@,cellular process
815@,biological regulation
23284@,cellular process
266727@,cellular process
85508@,cellular process
58158@,cellular process
816@,multicellular organismal process
9856@,biological regulation
340533@,cellular process
79625@,metabolic process
54328@,cellular process
4147@,developmental process
6900@,cellular process
10752@,cellular process
54986@,cellular process
57698@,cellular process
84892@,cellular process
886@,cellular process
84197@,cellular process
2823@,cellular process
23060@,cellular process
1496@,cellular process
54541@,metabolic process
26468@,cellular process
460@,cellular process
9423@,cellular process
1600@,developmental process
9373@,biological regulation
7280@,cellular process
84623@,cellular process
5649@,cellular process
8846@,metabolic process
23654@,biological regulation
4929@,cellular process
644168@,cellular process
858@,interspecies interaction between organisms
23180@,metabolic process
406930@,biological regulation
6281@,biological regulation
302@,biological regulation
406929@,biological regulation
2319@,biological regulation
11252@,biological regulation
2934@,cellular process
4118@,cellular process
914@,biological regulation
1794@,immune system process
6366@,cellular process
81609@,localization
81704@,biological regulation
1236@,cellular process
923@,response to stimulus
8440@,cellular process
5551@,response to stimulus
3958@,cellular process
84868@,biological regulation
2047@,biological regulation
11151@,biological regulation
6688@,cellular process
10202@,cellular process
55509@,cellular process
338339@,cellular process
4055@,response to stimulus
10537@,cellular process
29108@,biological regulation
5971@,cellular process
6504@,metabolic process
814@,biological regulation
1437@,cellular process
199@,developmental process
712@,cellular process
1075@,biological regulation
51311@,response to stimulus
2358@,biological regulation
51284@,response to stimulus
3459@,metabolic process
10333@,cellular process
84630@,biological regulation
8530@,biological regulation
406916@,biological regulation
26228@,cellular process
90865@,biological regulation
284467@,biological regulation
7097@,response to stimulus
6348@,biological regulation
566@,cellular process
7098@,metabolic process
406957@,cellular process
23208@,localization
2896@,cellular process
10135@,cellular process
351@,cellular process
8877@,cellular process
1191@,cellular process
3949@,cellular process
3684@,biological regulation
406934@,biological regulation
3725@,cellular process
406915@,biological regulation
5293@,cellular process
100@,multicellular organismal process
2322@,cellular process
3559@,biological regulation
202309@,immune system process
8314@,metabolic process
778@,immune system process
4004@,immune system process
338442@,cellular process
3965@,biological regulation
54542@,biological regulation
407975@,biological regulation
139818@,immune system process
84636@,immune system process
124976@,immune system process
27040@,immune system process
2207@,biological regulation
6372@,immune system process
6708@,biological regulation
55012@,biological regulation
1831@,immune system process
84524@,biological regulation
55619@,immune system process
57864@,biological regulation
3707@,cellular process
5366@,biological regulation
11035@,immune system process
6654@,biological regulation
115650@,biological regulation
4352@,biological regulation
27240@,immune system process
23495@,immune system process
5142@,biological regulation
1880@,cellular process
6498@,biological regulation
3718@,cellular process
10461@,biological regulation
8456@,biological regulation
578@,cellular process
608@,immune system process
10018@,biological regulation
4067@,biological regulation
159296@,cellular process
83700@,biological regulation
10019@,immune system process
8915@,biological regulation
57678@,metabolic process
8772@,biological regulation
10673@,biological regulation
3071@,biological regulation
9066@,localization
113146@,cellular process
94121@,biological regulation
493829@,biological regulation
8291@,biological regulation
5864@,reproductive process
6927@,biological regulation
