gene,top_go
529@,cellular process
148867@,biological regulation
7226@,cellular process
8678@,cellular process
165324@,cellular process
51715@,developmental process
9821@,metabolic process
203228@,cellular process
79065@,metabolic process
8396@,cellular process
5868@,interspecies interaction between organisms
25782@,metabolic process
23766@,cellular process
10641@,biological regulation
440738@,cellular process
8408@,biological regulation
90410@,behavior
441400@,cellular process
26471@,metabolic process
81631@,cellular process
9637@,biological regulation
55968@,cellular process
22930@,metabolic process
55102@,cellular process
285973@,metabolic process
8131@,developmental process
94241@,response to stimulus
22878@,localization
55054@,interspecies interaction between organisms
5289@,cellular process
26100@,metabolic process
23673@,cellular process
5899@,biological regulation
11152@,metabolic process
9554@,cellular process
7879@,interspecies interaction between organisms
5663@,cellular process
285180@,cellular process
8100@,biological regulation
29979@,biological regulation
79142@,cellular process
9927@,biological regulation
9638@,biological regulation
8897@,metabolic process
55014@,cellular process
171024@,metabolic process
83452@,localization
55062@,metabolic process
29082@,cellular process
128866@,interspecies interaction between organisms
89849@,interspecies interaction between organisms
140775@,cellular process
441925@,localization
345611@,response to stimulus
23130@,cellular process
79837@,cellular process
65018@,metabolic process
84557@,response to stimulus
9474@,interspecies interaction between organisms
5861@,cellular process
6048@,metabolic process
81671@,cellular process
9776@,cellular process
23241@,cellular process
81876@,cellular process
9706@,biological regulation
440026@,cellular process
23710@,cellular process
51100@,biological regulation
57535@,biological regulation
64422@,biological regulation
11337@,cellular process
56270@,metabolic process
120892@,biological regulation
340061@,biological regulation
23232@,biological regulation
55626@,biological regulation
22863@,biological regulation
11345@,localization
23256@,cellular process
5305@,cellular process
58476@,cellular process
60673@,cellular process
57533@,biological regulation
9531@,response to stimulus
83460@,cellular process
643246@,cellular process
90678@,biological regulation
137886@,cellular process
9140@,metabolic process
29978@,biological regulation
4534@,biological regulation
200576@,cellular process
57154@,biological regulation
435@,metabolic process
383@,response to stimulus
5009@,metabolic process
1373@,response to stimulus
57407@,metabolic process
83884@,metabolic process
162417@,metabolic process
1050@,biological regulation
384@,biological regulation
10166@,metabolic process
445@,metabolic process
23564@,biological regulation
23576@,biological regulation
5832@,metabolic process
493@,multicellular organismal process
790@,metabolic process
51068@,biological regulation
4927@,localization
55781@,biological regulation
4869@,biological regulation
3692@,metabolic process
6059@,biological regulation
51042@,biological regulation
55153@,localization
55341@,localization
7514@,localization
84946@,localization
5901@,metabolic process
84861@,biological regulation
10300@,cellular process
90417@,biological regulation
57520@,biological regulation
27183@,cellular process
25978@,interspecies interaction between organisms
151648@,cellular process
11044@,biological regulation
3619@,cellular process
8881@,biological regulation
84101@,biological regulation
51652@,biological regulation
51510@,cellular process
56155@,biological regulation
57132@,cellular process
10403@,cellular process
27243@,interspecies interaction between organisms
9787@,cellular process
9918@,cellular process
9525@,cellular process
9928@,biological regulation
1060@,cellular process
5119@,cellular process
55755@,biological regulation
55719@,biological regulation
11130@,cellular process
3835@,localization
83903@,localization
26255@,biological regulation
5885@,biological regulation
84722@,biological regulation
23383@,biological regulation
1843@,cellular process
286053@,cellular process
10051@,cellular process
3550@,biological regulation
91782@,cellular process
7290@,cellular process
8697@,cellular process
81929@,metabolic process
51433@,biological regulation
9319@,biological regulation
3834@,cellular process
7283@,cellular process
9232@,biological regulation
1062@,immune system process
996@,biological regulation
129563@,metabolic process
11065@,biological regulation
23047@,cellular process
701@,biological regulation
91272@,cellular process
23126@,cellular process
23137@,cellular process
29945@,biological regulation
83540@,cellular process
146909@,cellular process
8379@,cellular process
23310@,cellular process
246184@,biological regulation
55143@,cellular process
4085@,cellular process
7175@,metabolic process
64151@,cellular process
64105@,cellular process
7273@,multicellular organismal process
3837@,metabolic process
10540@,biological regulation
79998@,biological regulation
23244@,biological regulation
10744@,biological regulation
26271@,biological regulation
5925@,biological regulation
51529@,biological regulation
5518@,biological regulation
113130@,cellular process
55795@,localization
54617@,response to stimulus
9184@,biological regulation
990@,biological regulation
10015@,cellular process
3833@,cellular process
92421@,interspecies interaction between organisms
25906@,biological regulation
10270@,biological regulation
26993@,localization
324@,cellular process
8243@,biological regulation
7517@,cellular process
23636@,biological regulation
23397@,biological regulation
1063@,biological regulation
148479@,cellular process
283489@,localization
9183@,cellular process
5347@,localization
10464@,cellular process
79980@,cellular process
79643@,cellular process
8766@,cellular process
9700@,biological regulation
29781@,cellular process
56984@,biological regulation
54908@,cellular process
348654@,biological regulation
891@,biological regulation
8260@,biological regulation
27175@,cellular process
79003@,localization
4751@,cellular process
7756@,biological regulation
55165@,cellular process
11004@,immune system process
991@,biological regulation
79075@,cellular process
80218@,cellular process
25836@,developmental process
546@,reproductive process
699@,biological regulation
25936@,cellular process
9555@,biological regulation
51143@,immune system process
81930@,immune system process
8452@,cellular process
51203@,biological regulation
10615@,cellular process
3192@,localization
54984@,cellular process
472@,biological regulation
10783@,biological regulation
54921@,cellular process
7272@,biological regulation
10592@,cellular process
51451@,biological regulation
84250@,biological regulation
8658@,cellular process
10460@,biological regulation
81620@,cellular process
64682@,biological regulation
51434@,biological regulation
63967@,cellular process
8883@,cellular process
5884@,cellular process
54962@,metabolic process
144715@,cellular process
90381@,cellular process
4998@,cellular process
91603@,reproductive process
11073@,cellular process
3364@,cellular process
8318@,biological regulation
135458@,cellular process
5883@,cellular process
197342@,cellular process
25904@,response to stimulus
8682@,cellular process
1263@,response to stimulus
55571@,response to stimulus
581@,biological regulation
51720@,metabolic process
85456@,cellular process
9656@,cellular process
5591@,immune system process
5325@,response to stimulus
84446@,behavior
7832@,behavior
3276@,metabolic process
29883@,interspecies interaction between organisms
2810@,biological regulation
28984@,cellular process
5781@,cellular process
51776@,biological regulation
9337@,response to stimulus
2033@,metabolic process
57472@,response to stimulus
79184@,response to stimulus
440275@,behavior
10498@,developmental process
5514@,cellular process
5111@,biological regulation
7508@,metabolic process
10769@,cellular process
9575@,biological regulation
29980@,biological regulation
79733@,metabolic process
25896@,metabolic process
79791@,cellular process
84142@,response to stimulus
672@,response to stimulus
79968@,biological regulation
1407@,biological regulation
4193@,biological regulation
54465@,metabolic process
7029@,response to stimulus
83990@,response to stimulus
80279@,biological regulation
51322@,biological regulation
1026@,biological regulation
51347@,biological regulation
8555@,metabolic process
55159@,response to stimulus
83695@,response to stimulus
26058@,multicellular organismal process
7919@,metabolic process
545@,cellular process
1027@,biological regulation
144455@,metabolic process
51512@,response to stimulus
1432@,response to stimulus
84126@,cellular process
80254@,cellular process
1112@,cellular process
80198@,cellular process
84444@,cellular process
51514@,biological regulation
51499@,biological regulation
6790@,cellular process
25949@,cellular process
1017@,biological regulation
25946@,response to stimulus
168448@,cellular process
26270@,metabolic process
406991@,cellular process
9344@,biological regulation
835@,reproductive process
1647@,response to stimulus
6154@,localization
9577@,metabolic process
57646@,response to stimulus
25988@,cellular process
56658@,biological regulation
79858@,cellular process
8451@,biological regulation
8738@,response to stimulus
23019@,response to stimulus
1820@,response to stimulus
261726@,biological regulation
8091@,interspecies interaction between organisms
5810@,biological regulation
1874@,response to stimulus
995@,biological regulation
246175@,response to stimulus
4848@,response to stimulus
8563@,localization
27339@,biological regulation
4849@,response to stimulus
7027@,response to stimulus
4303@,biological regulation
79621@,cellular process
29086@,metabolic process
983@,reproductive process
6659@,developmental process
11277@,immune system process
146956@,cellular process
4683@,cellular process
4582@,response to stimulus
4194@,developmental process
1386@,metabolic process
595@,biological regulation
5934@,response to stimulus
9125@,cellular process
57551@,biological regulation
5371@,localization
3014@,response to stimulus
55367@,biological regulation
57805@,biological regulation
2177@,biological regulation
2765@,response to stimulus
60561@,biological regulation
51343@,biological regulation
65975@,cellular process
1869@,biological regulation
29935@,cellular process
988@,response to stimulus
4850@,response to stimulus
57060@,response to stimulus
10116@,cellular process
11200@,biological regulation
26272@,cellular process
5155@,biological regulation
5716@,immune system process
5311@,developmental process
905@,metabolic process
892@,biological regulation
645121@,biological regulation
4331@,biological regulation
7128@,biological regulation
9133@,immune system process
1029@,cellular process
1033@,biological regulation
7023@,response to stimulus
1163@,biological regulation
93649@,biological regulation
836@,biological regulation
4221@,biological regulation
1956@,cellular process
1032@,biological regulation
102724928@,biological regulation
1031@,biological regulation
494551@,reproductive process
23560@,biological regulation
1030@,biological regulation
27013@,biological regulation
54619@,biological regulation
10527@,biological regulation
92002@,biological regulation
898@,cellular process
10614@,biological regulation
1019@,biological regulation
904@,metabolic process
1028@,biological regulation
890@,response to stimulus
1022@,metabolic process
9113@,cellular process
902@,metabolic process
8812@,metabolic process
8900@,biological regulation
9088@,biological regulation
207@,biological regulation
57018@,biological regulation
29950@,biological regulation
22924@,biological regulation
219771@,biological regulation
5629@,developmental process
406895@,response to stimulus
993@,biological regulation
3087@,localization
9134@,cellular process
56647@,cellular process
3843@,response to stimulus
25793@,biological regulation
245711@,biological regulation
6868@,cellular process
151195@,biological regulation
894@,biological regulation
414194@,biological regulation
8850@,metabolic process
9077@,metabolic process
85417@,biological regulation
124790@,biological regulation
899@,biological regulation
51191@,biological regulation
60@,biological regulation
1164@,biological regulation
10309@,biological regulation
11140@,biological regulation
10983@,biological regulation
900@,biological regulation
7026@,biological regulation
79616@,biological regulation
5310@,developmental process
388324@,biological regulation
6714@,biological regulation
406948@,biological regulation
26524@,biological regulation
2965@,biological regulation
901@,biological regulation
51654@,metabolic process
406896@,response to stimulus
5728@,biological regulation
79935@,biological regulation
896@,biological regulation
81669@,biological regulation
100313843@,biological regulation
8851@,biological regulation
8941@,developmental process
221711@,biological phase
10388@,reproductive process
2103@,metabolic process
571@,biological regulation
8462@,biological regulation
3398@,response to stimulus
8882@,metabolic process
6241@,metabolic process
2672@,biological regulation
1719@,response to stimulus
23476@,biological regulation
4863@,biological regulation
5422@,cellular process
1876@,biological regulation
573971@,response to stimulus
7298@,metabolic process
4552@,biological regulation
635@,metabolic process
1491@,metabolic process
1800@,response to stimulus
1312@,behavior
4594@,metabolic process
4524@,metabolic process
6611@,metabolic process
50507@,metabolic process
2730@,response to stimulus
4522@,developmental process
23743@,metabolic process
84245@,metabolic process
642@,metabolic process
2678@,metabolic process
58478@,metabolic process
51380@,metabolic process
55256@,metabolic process
4357@,metabolic process
1036@,response to stimulus
51449@,localization
51074@,metabolic process
4143@,metabolic process
4507@,metabolic process
25828@,response to stimulus
339896@,metabolic process
2729@,biological regulation
102724560@,metabolic process
875@,metabolic process
23657@,localization
84890@,metabolic process
4548@,response to stimulus
441024@,metabolic process
189@,localization
7263@,localization
4482@,metabolic process
23382@,metabolic process
78991@,metabolic process
191@,metabolic process
27232@,metabolic process
10768@,localization
6509@,localization
4779@,immune system process
11136@,localization
6505@,localization
1497@,behavior
6519@,localization
55238@,localization
9061@,metabolic process
9060@,metabolic process
6820@,biological regulation
10121@,localization
54820@,biological regulation
5048@,cellular process
9181@,biological regulation
6993@,cellular process
10252@,cellular process
1058@,cellular process
126353@,localization
81565@,biological regulation
10253@,developmental process
3688@,cellular process
2255@,developmental process
5080@,biological regulation
79648@,multicellular organismal process
55860@,localization
29899@,localization
10120@,localization
3064@,biological regulation
2697@,biological regulation
89958@,localization
1639@,biological regulation
8976@,cellular process
147179@,cellular process
84948@,cellular process
7456@,cellular process
644150@,cellular process
55226@,cellular process
196074@,metabolic process
54433@,cellular process
55651@,cellular process
100130758@,metabolic process
92345@,cellular process
51106@,metabolic process
117246@,metabolic process
345630@,metabolic process
64216@,metabolic process
55006@,metabolic process
27079@,metabolic process
114049@,metabolic process
63899@,metabolic process
55695@,metabolic process
29063@,biological regulation
51504@,metabolic process
130916@,localization
79922@,metabolic process
29960@,metabolic process
27292@,biological regulation
51093@,metabolic process
387338@,biological regulation
55178@,metabolic process
55623@,metabolic process
154743@,biological regulation
79066@,metabolic process
2091@,metabolic process
113000@,metabolic process
10436@,metabolic process
91893@,metabolic process
115939@,metabolic process
1736@,cellular process
55505@,cellular process
51562@,biological regulation
653604@,cellular process
8356@,cellular process
121504@,cellular process
8367@,cellular process
126961@,cellular process
8363@,cellular process
8354@,cellular process
8467@,cellular process
8350@,cellular process
8359@,cellular process
8932@,biological regulation
5253@,biological regulation
8365@,cellular process
8360@,cellular process
8968@,cellular process
6839@,metabolic process
8353@,cellular process
57673@,biological regulation
3021@,cellular process
554313@,cellular process
8364@,cellular process
8357@,cellular process
22933@,biological regulation
8351@,cellular process
8352@,cellular process
8294@,cellular process
333932@,cellular process
8366@,cellular process
23378@,cellular process
8362@,cellular process
23133@,biological regulation
8370@,cellular process
8361@,cellular process
11176@,cellular process
8358@,cellular process
79829@,biological regulation
8368@,cellular process
3020@,cellular process
8355@,cellular process
4686@,localization
6156@,immune system process
6222@,localization
196513@,metabolic process
25873@,localization
6202@,localization
26019@,localization
23049@,cellular process
6155@,localization
6129@,localization
6157@,localization
22916@,biological regulation
65109@,localization
5394@,cellular process
6217@,localization
6189@,localization
84305@,biological regulation
6165@,localization
6164@,localization
6138@,localization
6170@,response to stimulus
5976@,cellular process
51594@,localization
79048@,developmental process
6210@,localization
6230@,localization
5073@,cellular process
6192@,localization
6181@,localization
6228@,localization
55110@,localization
3646@,biological regulation
11224@,localization
6137@,localization
6130@,localization
6191@,biological regulation
6139@,localization
6206@,localization
6188@,biological regulation
6144@,localization
6141@,localization
6235@,localization
56006@,metabolic process
6143@,localization
5515@,biological regulation
6161@,localization
22794@,localization
6171@,localization
6146@,localization
26986@,interspecies interaction between organisms
6173@,localization
4116@,localization
6142@,response to stimulus
4736@,localization
6233@,localization
85441@,metabolic process
7311@,localization
1981@,biological regulation
6158@,localization
6499@,metabolic process
6227@,localization
6201@,localization
6207@,localization
23381@,cellular process
6124@,localization
6229@,immune system process
6167@,localization
9349@,localization
6159@,localization
167227@,cellular process
55802@,metabolic process
6203@,biological regulation
9887@,cellular process
6176@,localization
23521@,biological regulation
6160@,localization
5520@,cellular process
6133@,localization
9939@,localization
9045@,localization
6231@,localization
2935@,biological regulation
9775@,localization
10921@,localization
55629@,metabolic process
154197@,developmental process
9811@,biological regulation
6194@,localization
23708@,cellular process
6132@,localization
6168@,localization
9704@,biological regulation
23293@,cellular process
6187@,localization
55181@,metabolic process
6224@,localization
65110@,biological regulation
2107@,biological regulation
6205@,localization
6218@,immune system process
11183@,biological regulation
10454@,biological regulation
10912@,metabolic process
8491@,response to stimulus
153090@,cellular process
11184@,response to stimulus
4616@,metabolic process
84231@,biological regulation
5871@,biological regulation
8844@,cellular process
7124@,biological regulation
389840@,biological regulation
652@,biological regulation
10818@,developmental process
4914@,cellular process
4296@,biological regulation
9175@,biological regulation
57498@,cellular process
23043@,biological regulation
8649@,biological regulation
28956@,biological regulation
7786@,biological regulation
2889@,cellular process
1950@,biological regulation
9607@,biological regulation
4216@,cellular process
5594@,developmental process
8754@,cellular process
2149@,biological regulation
9064@,biological regulation
4217@,response to stimulus
134@,multicellular organismal process
1326@,immune system process
6885@,biological regulation
84451@,biological regulation
9020@,response to stimulus
5595@,developmental process
4214@,response to stimulus
4294@,cellular process
5894@,cellular process
1398@,biological regulation
4215@,cellular process
4342@,cellular process
2911@,cellular process
673@,biological regulation
4803@,cellular process
10746@,response to stimulus
203447@,biological regulation
8737@,cellular process
4293@,biological regulation
7046@,developmental process
5610@,interspecies interaction between organisms
1399@,reproductive process
3717@,cellular process
5585@,biological regulation
5979@,developmental process
9261@,biological regulation
2914@,cellular process
5608@,biological regulation
5027@,biological regulation
1616@,response to stimulus
1139@,metabolic process
5291@,cellular process
7099@,response to stimulus
7314@,cellular process
7316@,localization
60675@,cellular process
408@,biological regulation
975@,biological regulation
4916@,cellular process
9518@,biological regulation
1815@,biological regulation
3084@,developmental process
646643@,biological regulation
10595@,biological regulation
972@,immune system process
8600@,biological regulation
5149@,cellular process
